"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 20:03:52 UTC 2023","Tue Dec 26 20:03:53 UTC 2023","734","","Widget","","","","empty email field in Widget page",""
"passed","Tue Dec 26 19:46:03 UTC 2023","Tue Dec 26 19:46:05 UTC 2023","1215","","Detail Keepers","","","","Validate DetailKeepers page - Keeper, welcome to Haven! (example #1)",""
"passed","Tue Dec 26 20:02:26 UTC 2023","Tue Dec 26 20:02:29 UTC 2023","3448","","Login Mint","","","","Successful registration in Mint page",""
"failed","Tue Dec 26 19:47:18 UTC 2023","Tue Dec 26 19:47:18 UTC 2023","272","","Detail Keepers settings","","","","Validate DetailKeepers Settings anchors at the left (example #5)",""
"failed","Tue Dec 26 19:44:52 UTC 2023","Tue Dec 26 19:45:03 UTC 2023","11808","","Chibi","","","","Buying Chi-Bi with Ethereum",""
"failed","Tue Dec 26 19:45:03 UTC 2023","Tue Dec 26 19:45:15 UTC 2023","11365","","Chibi","","","","Buying with credit or debit card",""
"failed","Tue Dec 26 19:47:13 UTC 2023","Tue Dec 26 19:47:13 UTC 2023","296","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #9)",""
"passed","Tue Dec 26 19:48:27 UTC 2023","Tue Dec 26 19:49:27 UTC 2023","59674","","Login","","","","Incorrect email Login",""
"failed","Tue Dec 26 19:47:16 UTC 2023","Tue Dec 26 19:47:17 UTC 2023","453","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #21)",""
"passed","Tue Dec 26 20:03:57 UTC 2023","Tue Dec 26 20:04:00 UTC 2023","3320","","Widget","","","","Successful registration in Widget page",""
"passed","Tue Dec 26 20:02:33 UTC 2023","Tue Dec 26 20:02:35 UTC 2023","1718","","Login Mint","","","","empty email field in sign up in Mint page",""
"passed","Tue Dec 26 19:50:03 UTC 2023","Tue Dec 26 19:50:43 UTC 2023","40351","","Login","","","","empty password field",""
"passed","Tue Dec 26 19:46:22 UTC 2023","Tue Dec 26 19:46:23 UTC 2023","982","","Detail Keepers","","","","Validate DetailKeepers page - CITIZEN NAME (example #18)",""
"failed","Tue Dec 26 19:47:15 UTC 2023","Tue Dec 26 19:47:16 UTC 2023","264","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #18)",""
"passed","Tue Dec 26 20:02:30 UTC 2023","Tue Dec 26 20:02:31 UTC 2023","878","","Login Mint","","","","valid the back button in the sign up modal in Mint page",""
"failed","Tue Dec 26 19:47:14 UTC 2023","Tue Dec 26 19:47:15 UTC 2023","279","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #15)",""
"passed","Tue Dec 26 20:02:23 UTC 2023","Tue Dec 26 20:02:25 UTC 2023","1516","","Login Mint","","","","Incorrect Password Login in Mint page",""
"failed","Tue Dec 26 19:47:18 UTC 2023","Tue Dec 26 19:47:18 UTC 2023","323","","Detail Keepers settings","","","","Validate DetailKeepers Settings anchors at the left (example #4)",""
"failed","Tue Dec 26 19:46:48 UTC 2023","Tue Dec 26 19:47:00 UTC 2023","11661","","Detail Keepers","","","","Validate Dropdown from Nickname (example #3)",""
"passed","Tue Dec 26 20:02:18 UTC 2023","Tue Dec 26 20:02:20 UTC 2023","2224","","Login Mint","","","","Incorrect email Login in Mint page",""
"passed","Tue Dec 26 20:03:17 UTC 2023","Tue Dec 26 20:03:19 UTC 2023","2469","","Login Settings","","","","valid the back button in the sign up modal in setting page",""
"failed","Tue Dec 26 19:47:16 UTC 2023","Tue Dec 26 19:47:16 UTC 2023","315","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #20)",""
"passed","Tue Dec 26 19:55:18 UTC 2023","Tue Dec 26 19:56:35 UTC 2023","76996","","Login","","","","empty nickname field in sign up",""
"passed","Tue Dec 26 19:46:24 UTC 2023","Tue Dec 26 19:46:25 UTC 2023","1067","","Detail Keepers","","","","Validate DetailKeepers page - Market (example #20)",""
